mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-30,-0.005119088,0.000245536,-30,-0.007785775,4.17E-05,-30,-0.010405284,0.000346703,-30,-0.013021622,3.10E-05,-30,-0.015679729,3.50E-05,-30,-0.0182907,3.45E-05,-30,-0.020898419,5.88E-05,-30,-0.023525747,3.16E-05,-30,-0.026150187,3.93E-05,-30,-0.028749277,3.26E-05,-30,-0.031301949,3.42E-05,-30,-0.033939728,3.22E-05,-30,-0.036530216,3.41E-05,-30,-0.039162107,3.48E-05,-30,-0.04165968,3.21E-05,-30,-0.044241593,3.38E-05,-30,-0.046821076,3.34E-05,-30,-0.049441322,3.25E-05,-30,-0.051970949,3.10E-05,-30,-0.054585322,3.41E-05,-30,-0.057109729,3.30E-05,-30,-0.059652602,3.43E-05,-30,-0.062236481,3.46E-05,-30,nan,nan,-30,nan,nan,-30,nan,nan
-29.5,-0.004996841,0.000219349,-29.5,-0.007622617,3.77E-05,-29.5,-0.010201881,0.000456999,-29.5,-0.012777965,3.02E-05,-29.5,-0.015351528,3.41E-05,-29.5,-0.017921889,3.37E-05,-29.5,-0.020489733,5.87E-05,-29.5,-0.023054362,3.26E-05,-29.5,-0.025616473,3.82E-05,-29.5,-0.028153687,3.19E-05,-29.5,-0.030688427,3.38E-05,-29.5,-0.033241979,3.20E-05,-29.5,-0.035792268,3.10E-05,-29.5,-0.038383206,3.21E-05,-29.5,-0.04081992,3.01E-05,-29.5,-0.043340477,3.30E-05,-29.5,-0.045879318,3.42E-05,-29.5,-0.048458597,3.16E-05,-29.5,-0.050948691,2.97E-05,-29.5,-0.053479216,3.34E-05,-29.5,-0.055963959,3.24E-05,-29.5,-0.058445659,3.14E-05,-29.5,-0.060967574,3.24E-05,-29.5,nan,nan,-29.5,nan,nan,-29.5,nan,nan
-29,-0.004918678,0.000266389,-29,-0.007460244,3.51E-05,-29,-0.00999879,0.00050565,-29,-0.012491748,3.27E-05,-29,-0.015067796,5.37E-05,-29,-0.017554824,3.30E-05,-29,-0.020039415,5.09E-05,-29,-0.022564004,3.19E-05,-29,-0.025128114,3.59E-05,-29,-0.027561483,3.14E-05,-29,-0.030077477,3.23E-05,-29,-0.03254769,3.35E-05,-29,-0.035057862,2.83E-05,-29,-0.03756523,3.22E-05,-29,-0.039984613,3.48E-05,-29,-0.042486104,3.51E-05,-29,-0.044942549,3.47E-05,-29,-0.047480733,3.36E-05,-29,-0.049888797,3.30E-05,-29,-0.05240002,3.14E-05,-29,-0.054824037,3.06E-05,-29,-0.057265869,3.24E-05,-29,-0.059747354,3.12E-05,-29,nan,nan,-29,nan,nan,-29,nan,nan
-28.5,-0.004797732,0.000244305,-28.5,-0.007298681,3.57E-05,-28.5,-0.00979676,0.000713949,-28.5,-0.012249597,3.74E-05,-28.5,-0.01474208,7.02E-05,-28.5,-0.017189177,3.29E-05,-28.5,-0.019633818,4.93E-05,-28.5,-0.022117395,3.22E-05,-28.5,-0.024598418,3.18E-05,-28.5,-0.026992255,3.16E-05,-28.5,-0.029425655,3.41E-05,-28.5,-0.031897779,3.21E-05,-28.5,-0.034367344,3.57E-05,-28.5,-0.036791875,3.45E-05,-28.5,-0.03917221,3.10E-05,-28.5,-0.041591447,3.33E-05,-28.5,-0.044007639,3.28E-05,-28.5,-0.046504474,3.28E-05,-28.5,-0.048873319,3.17E-05,-28.5,-0.051322772,3.21E-05,-28.5,-0.05368606,3.36E-05,-28.5,-0.056046978,3.28E-05,-28.5,-0.058487476,3.25E-05,-28.5,nan,nan,-28.5,nan,nan,-28.5,nan,nan
-28,-0.004719594,0.000326782,-28,-0.007179612,3.38E-05,-28,-0.009595199,0.000777401,-28,-0.012007895,3.37E-05,-28,-0.014417825,6.94E-05,-28,-0.016824984,3.46E-05,-28,-0.019229303,4.79E-05,-28,-0.021672233,3.21E-05,-28,-0.024070883,3.17E-05,-28,-0.026425486,3.37E-05,-28,-0.028818488,3.46E-05,-28,-0.031208855,3.33E-05,-28,-0.033637352,3.32E-05,-28,-0.036022028,3.24E-05,-28,-0.038321548,3.17E-05,-28,-0.040700736,3.11E-05,-28,-0.04307677,3.23E-05,-28,-0.045491188,3.49E-05,-28,-0.04782066,3.12E-05,-28,-0.050229308,3.15E-05,-28,-0.052553198,3.27E-05,-28,-0.054874671,3.54E-05,-28,-0.057274364,2.93E-05,-28,nan,nan,-28,nan,nan,-28,nan,nan
-27.5,-0.004599926,0.000250637,-27.5,-0.007019021,3.26E-05,-27.5,-0.009394135,0.000884051,-27.5,-0.011725787,3.33E-05,-27.5,-0.014136435,9.36E-05,-27.5,-0.016503066,3.37E-05,-27.5,-0.018826477,4.91E-05,-27.5,-0.021187516,3.26E-05,-27.5,-0.0235867,3.85E-05,-27.5,-0.025901457,3.26E-05,-27.5,-0.028213818,3.20E-05,-27.5,-0.030563599,3.13E-05,-27.5,-0.032910885,3.30E-05,-27.5,-0.035255348,3.39E-05,-27.5,-0.037515925,2.88E-05,-27.5,-0.039854807,3.24E-05,-27.5,-0.042150241,3.17E-05,-27.5,-0.044563877,3.35E-05,-27.5,-0.046813522,2.90E-05,-27.5,-0.049181166,2.91E-05,-27.5,-0.051425353,3.24E-05,-27.5,-0.053707238,3.31E-05,-27.5,-0.056066277,3.18E-05,-27.5,nan,nan,-27.5,nan,nan,-27.5,nan,nan
-27,-0.004521699,0.000294091,-27,-0.006859289,3.64E-05,-27,-0.009194069,0.000925172,-27,-0.011485755,3.23E-05,-27,-0.013815054,0.000114442,-27,-0.016141205,3.26E-05,-27,-0.018424818,5.62E-05,-27,-0.020745354,3.48E-05,-27,-0.023063385,4.53E-05,-27,-0.025338708,3.37E-05,-27,-0.027610926,3.52E-05,-27,-0.029920551,3.01E-05,-27,-0.032226972,3.04E-05,-27,-0.034530905,3.25E-05,-27,-0.036712698,3.27E-05,-27,-0.039011077,3.10E-05,-27,-0.041267063,3.43E-05,-27,-0.043598913,3.22E-05,-27,-0.045809831,3.06E-05,-27,-0.048135915,3.09E-05,-27,-0.050341352,3.46E-05,-27,-0.052583054,3.27E-05,-27,-0.054861606,3.33E-05,-27,nan,nan,-27,nan,nan,-27,nan,nan
-26.5,-0.004403501,0.000289765,-26.5,-0.006700432,3.26E-05,-26.5,-0.008994385,0.000915657,-26.5,-0.011246246,3.58E-05,-26.5,-0.013534847,0.000108743,-26.5,-0.015780914,3.24E-05,-26.5,-0.018024556,5.80E-05,-26.5,-0.020304619,3.15E-05,-26.5,-0.022581748,4.69E-05,-26.5,-0.02477788,3.19E-05,-26.5,-0.027010133,3.45E-05,-26.5,-0.029279078,3.20E-05,-26.5,-0.031506137,2.96E-05,-26.5,-0.033769049,2.98E-05,-26.5,-0.035912646,3.19E-05,-26.5,-0.038170366,3.18E-05,-26.5,-0.040347137,3.23E-05,-26.5,-0.042638017,3.10E-05,-26.5,-0.04480969,2.94E-05,-26.5,-0.047055687,3.24E-05,-26.5,-0.049221904,3.29E-05,-26.5,-0.05142365,3.20E-05,-26.5,-0.053661559,3.19E-05,-26.5,nan,nan,-26.5,nan,nan,-26.5,nan,nan
-26,-0.004325479,0.000304604,-26,-0.006581351,3.52E-05,-26,-0.008795847,0.00095034,-26,-0.011007296,3.24E-05,-26,-0.013216018,9.54E-05,-26,-0.015422,3.26E-05,-26,-0.017625448,5.05E-05,-26,-0.019864486,3.35E-05,-26,-0.022062145,3.65E-05,-26,-0.024237807,3.02E-05,-26,-0.026410954,3.14E-05,-26,-0.028600367,3.20E-05,-26,-0.030825354,3.25E-05,-26,-0.033009187,3.33E-05,-26,-0.03513289,3.29E-05,-26,-0.037330527,3.20E-05,-26,-0.039467936,3.24E-05,-26,-0.04171695,3.31E-05,-26,-0.043829829,3.24E-05,-26,-0.046035239,3.42E-05,-26,-0.048142713,3.16E-05,-26,-0.050304396,3.33E-05,-26,-0.052463291,3.22E-05,-26,-0.054562864,3.16E-05,-26,nan,nan,-26,nan,nan
-25.5,-0.004208731,0.000269877,-25.5,-0.0064236,3.26E-05,-25.5,-0.00859753,0.000873838,-25.5,-0.010749882,3.31E-05,-25.5,-0.012937307,8.14E-05,-25.5,-0.015102948,3.24E-05,-25.5,-0.017228118,6.49E-05,-25.5,-0.019388262,3.19E-05,-25.5,-0.021583468,3.53E-05,-25.5,-0.023700471,3.06E-05,-25.5,-0.02581457,3.05E-05,-25.5,-0.027963673,3.06E-05,-25.5,-0.030147845,3.35E-05,-25.5,-0.032291333,3.37E-05,-25.5,-0.034356976,3.02E-05,-25.5,-0.036495214,2.97E-05,-25.5,-0.038593004,3.06E-05,-25.5,-0.040762881,3.19E-05,-25.5,-0.042855408,3.20E-05,-25.5,-0.045019595,2.91E-05,-25.5,-0.047069169,3.11E-05,-25.5,-0.049153549,3.11E-05,-25.5,-0.051309291,2.86E-05,-25.5,-0.053387947,3.36E-05,-25.5,nan,nan,-25.5,nan,nan
