mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-30,-0.002566584,7.68E-07,-30,-0.005358797,9.17E-07,-30,-0.008102444,7.02E-07,-30,-0.010797484,2.24E-05,-30,-0.013535438,3.70E-07,-30,-0.016270478,4.23E-07,-30,-0.019002607,4.71E-07,-30,-0.021777317,8.68E-07,-30,-0.024435425,3.83E-07,-30,-0.027136118,3.51E-07,-30,-0.029856598,3.43E-07,-30,-0.032506324,6.53E-07,-30,-0.035153164,3.22E-07,-30,-0.037910145,3.73E-07,-30,-0.040664096,3.69E-07,-30,-0.043279885,3.54E-07,-30,-0.04602788,3.25E-07,-30,-0.048772828,3.34E-07,-30,-0.051379948,3.60E-07,-30,-0.054029317,3.61E-07
-29.5,-0.002528739,8.15E-07,-29.5,-0.005234648,8.76E-07,-29.5,-0.007937754,6.37E-07,-29.5,-0.010592953,2.85E-05,-29.5,-0.013290356,3.49E-07,-29.5,-0.01594001,4.45E-07,-29.5,-0.018631594,4.90E-07,-29.5,-0.021320246,5.76E-07,-29.5,-0.023961351,3.85E-07,-29.5,-0.026599474,3.34E-07,-29.5,-0.029279397,3.41E-07,-29.5,-0.031867347,7.19E-07,-29.5,-0.034452373,3.43E-07,-29.5,-0.037168294,3.59E-07,-29.5,-0.039836574,3.41E-07,-29.5,-0.042435275,4.09E-07,-29.5,-0.045120058,3.23E-07,-29.5,-0.047779473,3.45E-07,-29.5,-0.050369548,3.36E-07,-29.5,-0.052957007,3.42E-07
-29,-0.002468484,8.60E-07,-29,-0.005155854,9.73E-07,-29,-0.007773864,5.24E-07,-29,-0.010388973,3.35E-05,-29,-0.013001367,3.27E-07,-29,-0.015610916,4.95E-07,-29,-0.018239696,4.68E-07,-29,-0.02090973,7.29E-07,-29,-0.023466565,3.99E-07,-29,-0.026086658,3.37E-07,-29,-0.028703842,3.93E-07,-29,-0.031208425,5.68E-07,-29,-0.033776036,3.50E-07,-29,-0.036428461,3.52E-07,-29,-0.039055987,3.30E-07,-29,-0.041593219,4.88E-07,-29,-0.044214891,3.29E-07,-29,-0.046833587,3.37E-07,-29,-0.04936216,3.40E-07,-29,-0.051888045,3.34E-07
-28.5,-0.002408719,9.38E-07,-28.5,-0.005032952,9.26E-07,-28.5,-0.007610715,5.05E-07,-28.5,-0.010185564,3.90E-05,-28.5,-0.012757682,3.35E-07,-28.5,-0.015305182,5.66E-07,-28.5,-0.017871605,4.14E-07,-28.5,-0.020500346,1.40E-06,-28.5,-0.022995895,3.56E-07,-28.5,-0.025553712,3.79E-07,-28.5,-0.028108657,3.93E-07,-28.5,-0.030595878,4.45E-07,-28.5,-0.033102043,3.66E-07,-28.5,-0.035670038,3.40E-07,-28.5,-0.038256642,3.64E-07,-28.5,-0.040732669,4.95E-07,-28.5,-0.043313533,3.35E-07,-28.5,-0.045891293,3.42E-07,-28.5,-0.048358837,3.49E-07,-28.5,-0.050845051,3.48E-07
-28,-0.002370991,9.11E-07,-28,-0.00493255,1.03E-06,-28,-0.007448354,4.25E-07,-28,-0.009982748,4.18E-05,-28,-0.012492954,3.21E-07,-28,-0.015000335,5.82E-07,-28,-0.017504892,4.37E-07,-28,-0.020070774,2.42E-06,-28,-0.022526899,3.43E-07,-28,-0.025044252,3.80E-07,-28,-0.027537423,3.79E-07,-28,-0.029964011,4.14E-07,-28,-0.032409081,3.41E-07,-28,-0.034957514,3.38E-07,-28,-0.037460553,3.59E-07,-28,-0.039918342,3.92E-07,-28,-0.042436887,3.46E-07,-28,-0.044952364,3.35E-07,-28,-0.047380481,3.42E-07,-28,-0.049805831,3.52E-07
-27.5,-0.002333083,9.26E-07,-27.5,-0.004832459,8.55E-07,-27.5,-0.007307826,4.01E-07,-27.5,-0.009780547,4.37E-05,-27.5,-0.012229337,3.76E-07,-27.5,-0.014675338,5.21E-07,-27.5,-0.017139599,3.79E-07,-27.5,-0.019643067,2.78E-06,-27.5,-0.02205963,3.39E-07,-27.5,-0.024515351,4.33E-07,-27.5,-0.026968224,3.69E-07,-27.5,-0.029334529,6.35E-07,-27.5,-0.031739982,3.30E-07,-27.5,-0.034226273,3.73E-07,-27.5,-0.036688668,3.67E-07,-27.5,-0.039085658,3.94E-07,-27.5,-0.041542301,3.60E-07,-27.5,-0.044016807,3.56E-07,-27.5,-0.046384558,3.48E-07,-27.5,-0.048770406,3.46E-07
-27,-0.002274152,1.08E-06,-27,-0.004732691,8.98E-07,-27,-0.007146756,3.56E-07,-27,-0.009558208,4.79E-05,-27,-0.011987614,4.37E-07,-27,-0.014372716,5.01E-07,-27,-0.016796468,3.59E-07,-27,-0.019238091,3.91E-06,-27,-0.021594137,3.47E-07,-27,-0.024009364,4.01E-07,-27,-0.026401122,3.29E-07,-27,-0.028728315,8.64E-07,-27,-0.031073475,3.23E-07,-27,-0.033497961,3.91E-07,-27,-0.035919525,3.60E-07,-27,-0.038276712,4.40E-07,-27,-0.040672039,3.38E-07,-27,-0.04308502,3.48E-07,-27,-0.045413321,3.48E-07,-27,-0.047759271,3.43E-07
-26.5,-0.002215741,9.92E-07,-26.5,-0.004633256,7.87E-07,-26.5,-0.007007101,3.58E-07,-26.5,-0.009357652,4.46E-05,-26.5,-0.011725964,4.97E-07,-26.5,-0.014071081,4.49E-07,-26.5,-0.016433788,3.59E-07,-26.5,-0.018834383,3.45E-06,-26.5,-0.021150783,3.56E-07,-26.5,-0.023505022,3.99E-07,-26.5,-0.025836179,3.14E-07,-26.5,-0.028124091,1.01E-06,-26.5,-0.030429596,3.41E-07,-26.5,-0.032792847,3.78E-07,-26.5,-0.035173374,3.33E-07,-26.5,-0.037450278,4.84E-07,-26.5,-0.039825156,3.40E-07,-26.5,-0.042176898,3.46E-07,-26.5,-0.044465554,3.26E-07,-26.5,-0.046731419,3.64E-07
-26,-0.002178008,1.08E-06,-26,-0.004534167,8.21E-07,-26,-0.006847268,3.47E-07,-26,-0.009157778,4.09E-05,-26,-0.011485568,5.94E-07,-26,-0.01377047,3.92E-07,-26,-0.016072647,3.77E-07,-26,-0.01843199,2.61E-06,-26,-0.020688652,3.99E-07,-26,-0.023002382,3.65E-07,-26,-0.025293365,3.35E-07,-26,-0.027521901,8.11E-07,-26,-0.02976765,3.60E-07,-26,-0.032090117,3.27E-07,-26,-0.034409621,3.62E-07,-26,-0.036647067,4.72E-07,-26,-0.038960864,3.21E-07,-26,-0.041271756,3.35E-07,-26,-0.043500886,3.33E-07,-26,-0.045727387,3.42E-07
-25.5,-0.002120311,1.15E-06,-25.5,-0.004435431,6.76E-07,-25.5,-0.006708188,3.78E-07,-25.5,-0.008958607,3.55E-05,-25.5,-0.011225993,5.62E-07,-25.5,-0.01347091,3.68E-07,-25.5,-0.015732741,4.20E-07,-25.5,-0.01803104,1.70E-06,-25.5,-0.020248057,3.96E-07,-25.5,-0.022501494,3.39E-07,-25.5,-0.024752134,3.81E-07,-25.5,-0.02692183,5.32E-07,-25.5,-0.029127937,3.74E-07,-25.5,-0.031389867,3.30E-07,-25.5,-0.03366832,3.80E-07,-25.5,-0.035866116,3.90E-07,-25.5,-0.038119434,3.40E-07,-25.5,-0.040369886,3.31E-07,-25.5,-0.042559378,3.45E-07,-25.5,-0.044746233,3.36E-07
